-18 15:52:19,096 | DEBUG | guess_hr_01 |   [Request Step 2] Вход в Глобальный Семафор HH (limit=10) | ctx: {'account_id': 6, 'account_name': 'Guess(Юлия)', 'platform': 'hh'}
guess_hr_bot  | 2026-05-18 15:52:19,424 | DEBUG | guess_hr_01 |   [Request Step 2] Вход в Глобальный Семафор HH (limit=10) | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:19,424 | DEBUG | guess_hr_01 |   [Semaphore] Попытка захвата 'semaphore:hh_api_global' (limit=10)... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:19,425 | DEBUG | guess_hr_01 |   [Request Step 3] Подготовка заголовков и отправка... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:19,425 | DEBUG | guess_hr_01 | 📡 [HH Client] Отправка PUT на https://api.hh.ru/negotiations/consider/5303602025... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:19,614 | DEBUG | guess_hr_01 | 📊 [HH Client] Получен ответ 204 | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:19,615 | INFO | guess_hr_01 | ✅ УСПЕХ: Отклик 5303602025 перемещен в 'consider'. | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:19,615 | INFO | guess_hr_01 | 🔄 [Talantix Sync] Начинаю для диалога 43 (телефон: +7 961 440-12-64, HH Resume: 2bf1a671000fc1402700234e765062306e436c) | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:19,619 | DEBUG | guess_hr_01 |   [Semaphore] Попытка захвата 'semaphore:talantix_api_global' (limit=5)... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:19,754 | DEBUG | guess_hr_01 |   [Semaphore] Попытка захвата 'semaphore:talantix_api_global' (limit=5)... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:20,208 | DEBUG | guess_hr_01 | 🧐 Проверка кандидата Talantix 133174315 (Denis Denisov)... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:20,208 | DEBUG | guess_hr_01 |   [Semaphore] Попытка захвата 'semaphore:talantix_api_global' (limit=5)... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:20,254 | DEBUG | guess_hr_01 | 🧐 Проверка кандидата Talantix 136894801 (Denis Denisov)... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:20,254 | DEBUG | guess_hr_01 |   [Semaphore] Попытка захвата 'semaphore:talantix_api_global' (limit=5)... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:20,354 | DEBUG | guess_hr_01 | 🧐 Проверка кандидата Talantix 136840598 (Denis Denisov)... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:20,354 | DEBUG | guess_hr_01 |   [Semaphore] Попытка захвата 'semaphore:talantix_api_global' (limit=5)... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:20,455 | DEBUG | guess_hr_01 | 🧐 Проверка кандидата Talantix 133171101 (Denis Denisov)... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:20,455 | DEBUG | guess_hr_01 |   [Semaphore] Попытка захвата 'semaphore:talantix_api_global' (limit=5)... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:20,549 | DEBUG | guess_hr_01 | 🧐 Проверка кандидата Talantix 136832356 (Denis Denisov)... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:20,549 | DEBUG | guess_hr_01 |   [Semaphore] Попытка захвата 'semaphore:talantix_api_global' (limit=5)... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:20,654 | DEBUG | guess_hr_01 | 🧐 Проверка кандидата Talantix 136895112 (Denis Denisov)... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:20,655 | DEBUG | guess_hr_01 |   [Semaphore] Попытка захвата 'semaphore:talantix_api_global' (limit=5)... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:20,749 | DEBUG | guess_hr_01 | 🧐 Проверка кандидата Talantix 136833915 (Denis Denisov)... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:20,749 | DEBUG | guess_hr_01 |   [Semaphore] Попытка захвата 'semaphore:talantix_api_global' (limit=5)... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:20,850 | DEBUG | guess_hr_01 | 🧐 Проверка кандидата Talantix 133138658 (Denis Denisov)... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:20,851 | DEBUG | guess_hr_01 |   [Semaphore] Попытка захвата 'semaphore:talantix_api_global' (limit=5)... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:20,948 | DEBUG | guess_hr_01 | 🧐 Проверка кандидата Talantix 136836969 (Denis Denisov)... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:20,948 | DEBUG | guess_hr_01 |   [Semaphore] Попытка захвата 'semaphore:talantix_api_global' (limit=5)... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:21,051 | DEBUG | guess_hr_01 | 🧐 Проверка кандидата Talantix 136895463 (Denis Denisov)... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:21,051 | DEBUG | guess_hr_01 |   [Semaphore] Попытка захвата 'semaphore:talantix_api_global' (limit=5)... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:21,152 | INFO | guess_hr_01 | ✅ Найден нужный кандидат в Talantix: person_id=136895463 | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:21,152 | DEBUG | guess_hr_01 |   [Semaphore] Попытка захвата 'semaphore:talantix_api_global' (limit=5)... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:21,295 | DEBUG | guess_hr_01 | 🔍 Проверка привязки вакансии HH 132326437 к вакансии Talantix 370569... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:21,295 | DEBUG | guess_hr_01 |   [Semaphore] Попытка захвата 'semaphore:talantix_api_global' (limit=5)... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:21,362 | INFO | guess_hr_01 | 🎯 Найдено совпадение! Вакансия Talantix 370569 ('Продавец-консультант GUESS (ТЦ Каширская Плаза)') привязана к HH 132326437 | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:21,362 | INFO | guess_hr_01 | ✅ Данные Talantix успешно привязаны к диалогу 43: person_id=136895463, vacancy_id=370569 | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:21,362 | DEBUG | guess_hr_01 | 🔎 HH_API: Запрос истории сообщений по URL: https://api.hh.ru/negotiations/5303602025/messages... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:21,362 | DEBUG | guess_hr_01 | 🔑 [HH Client] Проверка токена для Guess(Юлия)... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:21,362 | DEBUG | guess_hr_01 |   [Request Step 1] Вход в Rate Limiter: rate_limit:hh_api_rate | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:21,362 | DEBUG | guess_hr_01 |   [RateLimiter] Проверка лимита 'rate_limit:hh_api_rate' (limit=100)... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:21,363 | DEBUG | guess_hr_01 |   [Request Step 2] Вход в Глобальный Семафор HH (limit=10) | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:21,363 | DEBUG | guess_hr_01 |   [Semaphore] Попытка захвата 'semaphore:hh_api_global' (limit=10)... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:21,363 | DEBUG | guess_hr_01 |   [Request Step 3] Подготовка заголовков и отправка... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:21,364 | DEBUG | guess_hr_01 | 📡 [HH Client] Отправка GET на https://api.hh.ru/negotiations/5303602025/messages... | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:21,556 | DEBUG | guess_hr_01 | 📊 [HH Client] Получен ответ 200 | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:21,558 | INFO | guess_hr_01 | 📥 HH POLLING DATA (MESSAGES for 43): [{"id": "14181351885", "created_at": "2026-05-18T18:52:16+0300", "text": null, "state": {"id": "response", "name": "Отклик"}, "address": null, "author": {"participant_type": "applicant"}, "editable": false, "viewed_by_me": true, "viewed_by_opponent": true}, {"id": "14181352327", "created_at": "2026-05-18T18:52:19+0300", "text": null, "state": {"id": "text", "name": "Текст"}, "address": null, "author": {"participant_type": "employer"}, "editable": false, "viewed_by_me": true, "viewed_by_opponent": false}] | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
guess_hr_bot  | 2026-05-18 15:52:21,567 | INFO | guess_hr_01 | ✅ Новый диалог HH 5303602025 успешно создан и инициализирован. | ctx: {'source': 'hh_poller', 'account_id': 6, 'folder': 'response', 'chat_id': '5303602025'}
^C
